MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AJ,IBULHSGFIN,SEC RE NCD SR.VI,      1040.00,      1020.00,      1020.00,      1020.00,      1020.00,                     5100.00,5, ,1,      1040.00,       900.10
N,BC,IBULHSGFIN,SEC RE NCD 9.71% SR VIII,       936.30,       936.30,       936.30,       936.30,       936.30,                     9363.00,10, ,5,      1000.00,       900.00
N,N0,IBULHSGFIN,SEC RE NCD 9.39% SR.VIII,       972.00,       970.00,       970.00,       942.00,       964.40,                     4822.00,5, ,2,      1021.00,       900.10
N,N0,NAVIFIN,SEC RE NCD 9.75% SR. I,       993.70,       993.70,       993.70,       993.70,       993.70,                    16892.90,17, ,1,      1007.00,       990.00
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       246.00,       250.00,       250.00,       250.00,       250.00,                    35500.00,142, ,2,       261.64,       243.27
N,N1,NAVIFIN,SEC RE NCD 9.20% SR. I,       985.00,       998.00,       998.00,       992.00,       998.00,                   442776.00,445, ,12,      1005.00,       980.00
N,N1,NHIT,SEC RE NCD 7.90% STRPP A,       315.00,       316.90,       316.90,       313.01,       313.74,                   257161.66,820, ,15,       318.79,       298.21
N,N1,UGROCAP,SEC RED NCD 10.03%,       328.09,       335.00,       335.00,       330.00,       330.05,                    26791.00,81, ,6,       717.00,       300.00
N,N2,CHOLAFIN,SEC RE NCD 8.30% SR.III,      1019.00,      1018.00,      1018.00,      1018.00,      1018.00,                    25450.00,25, ,1,      1224.00,       990.00
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1141.84,      1135.00,      1135.05,      1134.00,      1134.00,                  1367600.25,1205, ,6,      1344.90,      1005.99
N,N2,IIFCL,8.66% TAX FREE NCD,      1042.05,      1062.00,      1062.00,      1062.00,      1062.00,                     1062.00,1, ,1,      1200.00,      1017.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       248.20,       248.00,       248.00,       248.00,       248.00,                      248.00,1, ,1,       284.00,       242.25
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1163.10,      1167.00,      1167.00,      1167.00,      1167.00,                   190221.00,163, ,1,      1193.00,      1099.80
N,N2,M&MFIN,9.00% UNSECURED NCD,      1040.00,      1043.00,      1044.99,      1043.00,      1043.99,                     2087.99,2, ,2,      1119.90,      1017.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1164.00,      1163.30,      1163.30,      1161.30,      1162.00,                  6093642.40,5243, ,15,      1213.00,      1062.30
N,N2,NAVIFIN,SEC RE NCD 9.50% SR. II,      1021.00,      1021.00,      1021.00,      1021.00,      1021.00,                     5105.00,5, ,1,      1062.00,       980.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1089.95,      1090.10,      1099.00,      1062.20,      1089.04,                  1838342.96,1690, ,39,      1196.69,      1060.10
N,N2,NHIT,SEC RE NCD 7.90% STRPP B,       315.80,       311.29,       316.10,       311.29,       315.75,                    74806.70,237, ,8,       320.21,       298.66
N,N3,BRITANNIA,UNSEC RED NCD 5.50%,        28.82,        28.82,        28.99,        28.82,        28.91,                    75527.45,2615, ,85,        31.00,        28.00
N,N3,CREDITACC,SEC RE NCD 9.60% SR. III,      1010.00,      1010.00,      1010.00,      1010.00,      1010.00,                    25250.00,25, ,1,      1036.70,       970.00
N,N3,M&MFIN,UNSECURED NCD,      1865.00,      1870.00,      1870.00,      1870.00,      1870.00,                  1021020.00,546, ,9,      1890.00,      1728.00
N,N3,NAVIFIN,SEC RE NCD 9.40% SR. III,       999.99,       985.02,       985.02,       985.00,       985.00,                     5910.08,6, ,2,      1011.00,       974.03
N,N3,NHAI,8.27% TAX FREE TR I S IA,      1083.42,      1099.99,      1162.00,      1099.99,      1130.00,                   161848.77,143, ,14,      1375.00,      1020.21
N,N3,NHIT,SEC RE NCD 7.90% STRPP C,       420.15,       415.02,       425.98,       415.02,       425.90,                  1258654.29,2978, ,18,       426.99,       399.56
N,N3,POONAWALLA,SEC RED NCD 10.04% SR.III,       953.00,       953.00,       953.00,       953.00,       953.00,                    19060.00,20,XI,1,      1023.00,       953.00
N,N4,IIFCL,8.91% TAX FREE NCD,      1315.00,      1314.99,      1315.00,      1310.05,      1314.44,                  3507641.28,2668, ,13,      1400.00,      1201.60
N,N4,IIHFL,UNSEC RE NCD 10% SR.I,       970.00,       971.10,       971.20,       964.00,       966.40,                   175534.55,181, ,13,      1149.00,       925.00
N,N4,INCREDFIN,SEC RE NCD 9.45% SR.I,       990.00,       990.00,       990.00,       990.00,       990.00,                    11880.00,12, ,2,      1014.00,       990.00
N,N4,IRFC,7.34 NCD 19FEB28 TR1 SR2,      1150.62,      1151.00,      1151.00,      1146.00,      1146.00,                   379803.00,331, ,8,      1238.00,       915.10
N,N4,NHAI,8.52% TAX FREE TR I S IB,      1059.99,      1070.00,      1079.99,      1059.99,      1068.03,                  2059658.44,1927, ,204,      1199.88,      1015.00
N,N4,NHPC,8.43% SEC RED BOND S1B,      1044.99,      1044.99,      1044.99,      1040.00,      1040.01,                    62450.40,60, ,4,      1149.00,      1005.65
N,N5,CREDITACC,SEC RE NCD 10% SR. V,      1027.40,      1026.00,      1026.00,      1000.10,      1000.10,                    15131.00,15, ,2,      1072.00,      1000.10
N,N5,ERFLNCDI,SEC RED NCD 8.88% SR. V,       906.00,       903.21,       903.21,       903.21,       903.21,                     7225.68,8, ,1,       970.00,       890.10
N,N5,HUDCO,7.51 NCD 16FEB28 TR1 SR2,      1115.00,      1115.00,      1115.00,      1115.00,      1115.00,                    57980.00,52, ,1,      1170.00,      1031.50
N,N5,IIHFL,UNSEC RE NCD 9.60% SR.II,       979.99,       979.99,       982.00,       977.70,       982.00,                  1336111.71,1363, ,22,      1012.00,       965.00
N,N5,NAVIFIN,SEC RE NCD 10.25% SR.II,      1002.99,      1003.00,      1003.00,      1000.00,      1003.00,                    26018.00,26, ,3,      1006.00,       985.00
N,N5,NHAI,8.50% TAX FREE TR I S IIA,      1194.00,      1081.10,      1081.10,      1081.10,      1081.10,                   433521.10,401, ,5,      1451.00,      1081.10
N,N5,PFC,8.30% TAX FREE NCD,      1149.50,      1165.00,      1165.00,      1165.00,      1165.00,                   116500.00,100, ,1,      1210.00,      1104.05
N,N5,UGROCAP,SEC RED NCD 10.15% SR. I,       990.00,       999.90,       999.90,       999.90,       999.90,                     4999.50,5, ,1,      1024.90,       806.10
N,N6,CHOLAFIN,SEC RE NCD 8.25% SR 1,       995.59,      1000.00,      1000.00,       997.50,       997.50,                    10975.00,11, ,2,      1005.40,       987.10
N,N6,ERFLNCDI,SEC RED NCD 9.25% SR. VI,       941.10,       940.00,       940.00,       940.00,       940.00,                     1880.00,2, ,1,      1049.50,       856.00
N,N6,IIFL,UNSEC RED NCD 10.0% SR. V,      1039.00,      1011.00,      1029.00,      1011.00,      1029.00,                    24606.00,24,XI,3,      1099.00,      1000.00
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1188.40,      1190.00,      1199.00,      1188.73,      1190.32,                  2100654.03,1761, ,88,      1269.00,      1150.00
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      6836.20,      6836.20,      6836.20,      6718.00,      6776.80,                  1897569.65,280, ,42,      7140.00,      5775.00
N,N6,NHPC,8.92% SEC RED BOND S3B,      1300.00,      1300.50,      1300.50,      1290.00,      1290.00,                   240316.54,185, ,8,      1420.00,      1242.65
N,N6,NIDO,SEC RED NCD 10% SR. VI,       963.00,       967.00,       967.00,       967.00,       967.00,                    14505.00,15, ,5,      1078.99,       913.50
N,N6,NTPC,8.91%S-R-NCD SERIES 3B,      1332.00,      1321.00,      1330.00,      1315.11,      1330.00,                   436144.19,331, ,14,      1469.99,      1271.00
N,N6,TATACAPHSG,SEC RED NCD 8.30% SR.III,      1047.00,      1056.97,      1056.97,      1050.10,      1056.97,                    31702.23,30, ,3,      1094.00,       910.00
N,N7,CREDITACC,SEC RE NCD 9.10% SR I,       994.75,       994.75,       994.75,       994.75,       994.75,                     9947.50,10, ,1,      1001.00,       985.74
N,N7,HUDCO,BOND 7.19% PA TAX FREE S2,      1095.15,      1090.00,      1097.00,      1090.00,      1095.30,                  1204300.00,1100, ,5,      1244.90,      1068.00
N,N7,IIFL,UNSEC RED NCD 10.5% SR.VI,      1016.21,      1016.21,      1016.21,      1016.21,      1016.21,                     1016.21,1, ,1,      1198.90,      1002.00
N,N7,IIHFL,SEC RE NCD 8.25% SR.I,      1006.00,      1013.20,      1013.20,      1006.50,      1006.50,                    28299.40,28, ,4,      1040.55,       825.20
N,N7,IREDA,7.74% TAX FREE NCD,      1171.59,      1163.15,      1163.15,      1163.15,      1163.15,                   272177.10,234, ,1,      1247.59,      1126.15
N,N7,IRFC,BOND 8.23% PA TF TI-SIA,      1057.00,      1050.00,      1050.00,      1041.20,      1042.50,                   417751.79,400, ,5,      1299.00,      1013.16
N,N7,NAVIFIN,SEC RE NCD 10.50% SR.IV,      1002.32,      1003.00,      1003.00,      1000.00,      1000.00,                   206459.03,206, ,11,      1009.00,       989.00
N,N7,NIDO,SEC RED NCD SR. VII,      1832.00,      1831.50,      1832.00,      1831.50,      1832.00,                   401100.00,219, ,2,      2300.00,      1450.00
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        10.46,        10.46,        10.48,        10.46,        10.46,                   298792.70,28544, ,71,        13.66,        10.00
N,N8,DHANILOANS,DHANI LOANS & SERV LTD,      1542.00,      1541.00,      1541.50,      1530.45,      1535.01,                   310696.45,202, ,8,      1590.10,      1129.90
N,N8,HUDCO,7.64% TAX FREETRI SR2B,      1158.50,      1157.05,      1164.90,      1157.05,      1164.90,                    49761.00,43, ,3,      1224.80,      1130.00
N,N8,IIHFL,SEC RE NCD 0% SR.II,      1090.00,      1090.00,      1090.00,      1090.00,      1090.00,                     1090.00,1, ,1,      1100.45,       830.20
N,N8,NAVIFIN,SEC RE NCD 11.02% SR.V,      1006.30,      1018.80,      1018.80,      1018.80,      1018.80,                    68259.60,67, ,3,      1025.50,       995.00
N,N8,NHAI,TAX FREE7.39% SR.IB,      1073.69,      1068.01,      1072.50,      1067.00,      1072.50,                   554031.96,519, ,15,      1149.85,      1033.01
N,N8,PFC,8.92% TAX FREE NCD,      1335.32,      1341.99,      1344.00,      1335.00,      1336.44,                   910361.90,680, ,19,      1421.00,      1276.00
N,N9,HUDCO,7.69% TAX FREETRII SR2B,      1178.65,      1177.00,      1177.00,      1176.55,      1176.67,                   164735.00,140, ,3,      1234.90,      1137.00
N,N9,IIHFL,SEC RE NCD 8.20% SR.III,       920.11,       920.01,       920.01,       920.01,       920.01,                    46000.50,50, ,1,       985.90,       822.40
N,N9,IRFC,BOND 8.48% PA TF TI-SIB,      1041.40,      1045.00,      1045.00,      1045.00,      1045.00,                    25080.00,24, ,2,      1329.40,      1012.81
N,N9,RECLTD,BOND 8.71% TAX FREE S2B,      1199.00,      1201.50,      1202.00,      1201.50,      1201.61,                  1081512.00,900, ,7,      1289.00,      1101.00
N,NA,CHOLAFIN,SEC RE NCD 8.40% SR 5,      1013.50,      1016.40,      1016.40,      1016.40,      1016.40,                     1016.40,1, ,1,      1016.40,       994.36
N,NA,IBULHSGFIN,SEC RED NCD 9.0% SR. VI,       930.00,       929.89,       929.89,       922.00,       922.00,                   325067.25,350, ,3,      1025.00,       885.00
N,NA,IRFC,BOND 8.65% PA TF TI-SIIB,      1172.28,      1171.43,      1178.78,      1171.31,      1176.00,                  1235874.33,1052, ,19,      1298.90,      1137.10
N,NA,NHAI,TAX FREE7.60% SR.IIB,      1161.63,      1163.00,      1165.00,      1163.00,      1165.00,                   584479.90,502, ,6,      1217.00,      1090.00
N,NA,PCHFL,SEC RE NCD 9% SR.V,       999.99,       995.95,       995.95,       995.95,       995.95,                     9959.50,10, ,1,      1088.00,       975.10
N,NC,IIFL,UNSEC RED NCD 10.00% SR.V,      1001.25,       996.00,       996.00,       995.00,       995.71,                    69700.00,70, ,2,      1043.90,       842.80
N,NC,IIHFL,SEC RE NCD 8.43% SR.VI,       915.16,       943.90,       944.00,       905.30,       908.83,                   795134.75,869, ,20,       991.60,       829.20
N,NC,IRFC,BOND 8.63% PA TF TII-SIIA,      1208.00,      1209.00,      1209.00,      1209.00,      1209.00,                     2418.00,2, ,1,      1250.00,      1081.00
N,NC,NHAI,TAX FREE 7.29% SR. IB,      1044.00,      1042.00,      1042.00,      1042.00,      1042.00,                    20840.00,20, ,2,      1130.00,      1042.00
N,ND,CREDITACC,SEC RE NCD 9.70% SR VII,       993.00,       995.00,       999.00,       993.00,       994.50,                  2502615.18,2517, ,43,       999.00,       980.00
N,ND,HUDCO,8.76% TAX FREETRI SR2B,      1210.00,      1210.00,      1220.00,      1209.01,      1209.89,                  1327438.33,1096, ,17,      1279.00,      1151.10
N,ND,IBUCCREDIT,SERENCD9.20%SRVIICIII&IV,       831.00,       850.00,       850.00,       850.00,       850.00,                     5100.00,6, ,1,      1014.00,       800.00
N,ND,INDIGRID,SEC RE NCD 7.60% SR.II,       995.00,       995.00,       995.00,       995.00,       995.00,                    58705.00,59, ,1,      1048.00,       965.00
N,ND,IRFC,BOND 8.44% PA TF TII-SIB,      1040.10,      1071.80,      1071.80,      1071.80,      1071.80,                     5359.00,5, ,1,      1307.80,      1001.10
N,ND,NHAI,TAX FREE 7.39% SR. IIA,      1137.48,      1137.48,      1139.99,      1137.48,      1139.99,                     2277.47,2, ,2,      1248.00,      1026.00
N,ND,NTPC,TFB 7.62% 2035 SR. 3B,      1220.00,      1180.00,      1180.00,      1180.00,      1180.00,                    11800.00,10, ,1,      1288.00,      1180.00
N,NE,CREDITACC,SEC RE NCD SR VIII,      1000.00,       820.62,       820.62,       820.62,       820.62,                  1066806.00,1300, ,1,       820.62,       820.62
N,NE,HUDCO,9.01% TAX FREETRII SR3B,      1341.92,      1345.00,      1355.00,      1340.10,      1340.89,                  2093623.52,1561, ,19,      1424.00,      1205.10
N,NE,IBULHSGFIN,UNS RED NCD 9.15% SR.IX,       921.00,       937.90,       937.90,       925.00,       930.00,                   479004.00,515, ,7,      1015.00,       900.00
