MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AG,IBULHSGFIN,SEC RE NCD SR.III,      1039.50,      1039.78,      1039.78,      1039.78,      1039.78,                     1039.78,1, ,1,      1099.00,       880.10
N,AT,IBULHSGFIN,SEC RE NCD SR III,       952.00,       936.59,       936.59,       936.59,       936.59,                    10302.49,11, ,1,       970.00,       900.10
N,AZ,IBULHSGFIN,SEC RE NCD 10.15% SR VII,       980.00,       980.00,       980.00,       980.00,       980.00,                     9800.00,10, ,1,      1025.00,       955.50
N,N0,IBULHSGFIN,SEC RE NCD 9.39% SR.VIII,       964.40,       975.00,       979.00,       975.00,       979.00,                   104645.00,107, ,4,      1021.00,       900.10
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       249.00,       242.78,       251.50,       242.78,       250.00,                     9942.80,40, ,4,       265.98,       215.15
N,N0,NAVIFIN,SEC RE NCD 9.75% SR. I,       993.70,       990.01,       990.01,       990.00,       990.00,                    10890.02,11, ,2,      1007.00,       990.00
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       250.00,       243.75,       249.50,       243.75,       249.50,                     4932.50,20, ,2,       261.64,       243.27
N,N1,M&MFIN,8.72% UNSECURED NCD,      1030.00,      1030.00,      1030.00,      1030.00,      1030.00,                    15450.00,15, ,1,      1187.00,       972.40
N,N1,NAVIFIN,SEC RE NCD 9.20% SR. I,       998.00,       988.01,       988.01,       988.01,       988.01,                     9880.10,10,XI,1,      1005.00,       980.00
N,N1,NHIT,SEC RE NCD 7.90% STRPP A,       313.74,       313.74,       314.00,       313.02,       313.80,                  2626691.12,8374, ,35,       318.79,       298.21
N,N1,NTPC,8.41%S-R-NCD SERIES 1A,      1199.99,      1099.00,      1099.00,      1099.00,      1099.00,                    10990.00,10, ,1,      1277.90,      1025.20
N,N1,UGROCAP,SEC RED NCD 10.03%,       330.05,       335.00,       335.00,       330.50,       330.50,                    27825.00,84, ,4,       717.00,       300.00
N,N2,CHOLAFIN,SEC RE NCD 8.30% SR.III,      1018.00,      1018.00,      1018.00,      1018.00,      1018.00,                    20360.00,20, ,1,      1224.00,       990.00
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1134.00,      1134.00,      1134.00,      1134.00,      1134.00,                   582876.00,514, ,1,      1344.90,      1005.99
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       248.00,       241.80,       249.95,       241.80,       249.95,                    60154.95,241, ,5,       284.00,       241.80
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1167.00,      1167.00,      1169.00,      1167.00,      1168.38,                   504744.00,432, ,3,      1193.00,      1099.80
N,N2,M&MFIN,9.00% UNSECURED NCD,      1043.99,      1044.95,      1044.99,      1044.95,      1044.97,                     2089.94,2, ,2,      1119.90,      1017.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1162.00,      1161.10,      1170.00,      1161.10,      1166.67,                  3310342.45,2841, ,11,      1213.00,      1062.30
N,N2,NAVIFIN,SEC RE NCD 9.50% SR. II,      1021.00,      1028.80,      1028.80,      1028.80,      1028.80,                     1028.80,1, ,1,      1062.00,       980.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1089.04,      1090.00,      1093.00,      1088.00,      1088.57,                  1674889.80,1536, ,54,      1196.69,      1060.10
N,N2,NHIT,SEC RE NCD 7.90% STRPP B,       315.75,       319.87,       319.87,       311.52,       316.30,                    25545.17,81, ,5,       320.21,       298.66
N,N2,NTPC,8.48%S-R-NCD SERIES 2A,      1240.00,      1230.00,      1230.00,      1230.00,      1230.00,                     6150.00,5, ,1,      1444.00,      1155.25
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1131.79,      1131.79,      1131.79,      1131.79,      1131.79,                   582871.85,515, ,2,      1172.00,      1077.14
N,N3,BRITANNIA,UNSEC RED NCD 5.50%,        28.91,        28.85,        29.25,        28.82,        28.96,                   111463.22,3850, ,44,        31.00,        28.00
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       248.01,       241.81,       250.00,       241.81,       250.00,                    17916.10,72, ,4,       268.55,       218.00
N,N3,M&MFIN,UNSECURED NCD,      1870.00,      1870.00,      1870.00,      1870.00,      1870.00,                   190740.00,102, ,2,      1890.00,      1728.00
N,N3,NHAI,8.27% TAX FREE TR I S IA,      1130.00,      1158.25,      1169.99,      1158.25,      1161.00,                    23200.45,20, ,8,      1375.00,      1020.21
N,N3,NHIT,SEC RE NCD 7.90% STRPP C,       425.90,       428.00,       428.46,       418.01,       425.00,                    60694.84,143, ,6,       428.46,       399.56
